Date,AAPL,AMZN,AVGO,GOOGL,META,MSFT,NVDA,ORCL,TSLA,TSM
2016-04-18,24.319717407226562,31.767499923706055,11.932267189025879,39.061153411865234,109.5899887084961,49.67853927612305,0.9050302505493164,35.513423919677734,16.92533302307129,19.585418701171875
2016-04-19,24.190738677978516,31.395000457763672,11.562591552734375,38.49433898925781,111.41566467285156,49.616943359375,0.8888731002807617,35.35841369628906,16.4913330078125,19.324277877807617
2016-04-20,24.240516662597656,31.649499893188477,11.727914810180664,38.42838668823242,111.5446548461914,48.91303634643555,0.8923004269599915,35.39286804199219,16.6646671295166,19.29355239868164
2016-04-21,23.978046417236328,31.549999237060547,11.584019660949707,38.6803092956543,112.55673217773438,49.0802001953125,0.8913214206695557,35.298133850097656,16.55266761779785,19.324277877807617
2016-04-22,23.912429809570312,31.024999618530273,11.505952835083008,36.58612060546875,109.69913482666016,45.560646057128906,0.8878941535949707,35.048397064208984,16.916667938232422,19.255151748657227
2016-04-25,23.77666473388672,31.309999465942383,11.411810874938965,36.80630111694336,109.24271392822266,45.85102081298828,0.8923004269599915,35.1172981262207,16.788000106811523,19.209068298339844
2016-04-26,23.61148452758789,30.8439998626709,11.538864135742188,35.971195220947266,107.91314697265625,45.261497497558594,0.8930348753929138,35.005340576171875,16.916000366210938,19.209068298339844
2016-04-27,22.133926391601562,30.328500747680664,11.597799301147461,35.77730178833008,108.04214477539062,44.82155227661133,0.913353443145752,35.17757034301758,16.764667510986328,19.393402099609375
2016-04-28,21.45737075805664,30.100000381469727,11.326852798461914,34.96402359008789,115.82109832763672,43.906463623046875,0.886180579662323,34.729774475097656,16.513999938964844,18.556224822998047
2016-04-29,21.210737228393555,32.97949981689453,11.155409812927246,35.1038703918457,116.66447448730469,43.88006591796875,0.8697789311408997,34.32504653930664,16.05066680908203,18.118427276611328
2016-05-02,21.188112258911133,34.192501068115234,11.180663108825684,35.42768859863281,117.64675903320312,44.531166076660156,0.8812844753265381,34.703941345214844,16.1200008392334,18.195234298706055
2016-05-03,21.536571502685547,33.566001892089844,10.960235595703125,35.13163757324219,116.51564025878906,43.800865173339844,0.870758056640625,34.17003631591797,15.48799991607666,17.911054611206055
2016-05-04,21.312559127807617,33.54499816894531,10.873746871948242,35.276939392089844,117.14073944091797,43.88006591796875,0.8509290218353271,33.834197998046875,14.837332725524902,17.98786163330078
2016-05-05,21.226051330566406,32.954498291015625,10.912781715393066,35.442569732666016,116.89268493652344,43.941650390625,0.8560698628425598,33.782527923583984,14.10200023651123,18.049306869506836
2016-05-06,21.10767364501953,33.6974983215332,10.85997200012207,35.96177291870117,118.55961608886719,44.337608337402344,0.8648828268051147,33.93751525878906,14.328666687011719,17.980182647705078
2016-05-09,21.123615264892578,33.98749923706055,10.899007797241211,36.157657623291016,118.31153869628906,44.05604934692383,0.8636587858200073,33.89447021484375,13.928000450134277,17.949459075927734
2016-05-10,21.267026901245117,35.153499603271484,11.068153381347656,36.665958404541016,119.5617446899414,44.891937255859375,0.8803051710128784,34.462833404541016,13.912667274475098,17.964818954467773
